Item,Image,Price (€),Neighborhood,Zipcode,Link
Peppa und George Kuscheltiere Plüschtiere,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/fU0AAOSwPnpgHbLF/$_2.JPG"" style=""max-height:124px;""></img>",13,Steglitz,12207,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-und-george-kuscheltiere-plueschtiere/1658351274-23-3418
Peppa Wutz Bücher + CD,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2YQAAOSwnXJgHasr/$_2.JPG"" style=""max-height:124px;""></img>",15,Reinickendorf,13469,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-buecher-cd/1658325812-76-3514
Peppa Wutz Buch,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/XP4AAOSwUwVgHanx/$_2.JPG"" style=""max-height:124px;""></img>",3,Charlottenburg,10625,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-buch/1658320081-76-9662
Peppa Wutz Buch,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/dk8AAOSwPWRgHakT/$_2.JPG"" style=""max-height:124px;""></img>",5,Zehlendorf,14129,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-buch/1658318077-76-9662
Peppa pig Peppa Wutz Heliumballon Luftballon Folienbllon,"<img src=""https://i.ebayimg.com/00/s/OTc4WDE2MDA=/z/vSwAAOSwBo9gHWcL/$_2.JPG"" style=""max-height:124px;""></img>",50,Hellersdorf,12623,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-peppa-wutz-heliumballon-luftballon-folienbllon/1657998683-23-9676
Peppa Pig Kuscheltier,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/tuAAAOSwd8RgHS7V/$_2.JPG"" style=""max-height:124px;""></img>",2,Charlottenburg,14059,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-kuscheltier/1657689191-23-3527
Peppa Wutz,"<img src=""https://i.ebayimg.com/00/s/MTU2MlgxNjAw/z/GOQAAOSw-rlgHDS8/$_2.JPG"" style=""max-height:124px;""></img>",10,Wilmersdorf,10713,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz/1657152402-23-3427
Peppa Wutz Buch,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/UyoAAOSwK2xgHBIR/$_2.JPG"" style=""max-height:124px;""></img>",12,Reinickendorf,13503,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-buch/1656979145-76-3438
Peppa Pig Wutz Langarmshirt's Gr.110/116 H&M,"<img src=""https://i.ebayimg.com/00/s/NzIxWDE2MDA=/z/VOgAAOSwrg5gG~pq/$_2.JPG"" style=""max-height:124px;""></img>",100,Lichtenberg,10369,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-wutz-langarmshirt-s-gr-110-116-h-m/1656868886-22-3358
Peppa wutz,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CJUAAOSwDVBgG8zL/$_2.JPG"" style=""max-height:124px;""></img>",10,Tempelhof,12107,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz/1656647964-23-3499
Peppa Wutz Kleid 134/140 top,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ULQAAOSw25dgG73S/$_2.JPG"" style=""max-height:124px;""></img>",6,Marzahn,12681,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-kleid-134-140-top/1656579240-22-3466
H&m peppa wutz peppa pig langarmshirt pink 110/116,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/qCEAAOSwVopgGqTb/$_2.JPG"" style=""max-height:124px;""></img>",9,Marzahn,12687,https://www.ebay-kleinanzeigen.de/s-anzeige/h-m-peppa-wutz-peppa-pig-langarmshirt-pink-110-116/1655825998-22-3383
Peppa Wutz Figuren,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/-XgAAOSw1iVgGm07/$_2.JPG"" style=""max-height:124px;""></img>",30,Mitte,10969,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-figuren/1655539182-23-3357
NEU! Peppa Pig Familie mit Auto NEU!,"<img src=""https://i.ebayimg.com/00/s/MTYwMFg3Mzk=/z/gEIAAOSwLV1gGbu7/$_2.JPG"" style=""max-height:124px;""></img>",20,Tiergarten,10553,https://www.ebay-kleinanzeigen.de/s-anzeige/neu-peppa-pig-familie-mit-auto-neu-/1655316083-23-3494
Peppa Pig Koffer als Rucksack tragbar,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/a00AAOSwqnVgGbTp/$_2.JPG"" style=""max-height:124px;""></img>",10,Tempelhof,12305,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-koffer-als-rucksack-tragbar/1655291933-18-3407
Figuren Peppa Wutz Schlümpfe PJ Masks Drachen Dragons Pudding Ei,"<img src=""https://i.ebayimg.com/00/s/MTA3N1gxMDc4/z/17EAAOSwgLpgIkpl/$_2.JPG"" style=""max-height:124px;""></img>",,Pankow,13125,https://www.ebay-kleinanzeigen.de/s-anzeige/figuren-peppa-wutz-schluempfe-pj-masks-drachen-dragons-pudding-ei/1655073198-23-3473
Leo Lausemaus & Peppa Wutz,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/z9UAAOSwzQxgGVAR/$_2.JPG"" style=""max-height:124px;""></img>",6,Marzahn,12685,https://www.ebay-kleinanzeigen.de/s-anzeige/leo-lausemaus-peppa-wutz/1654762558-76-3547
